Trace ID,User Query,AI Response,Assumes device,Notes,Split
A022,chest strap keeps disconnecting,"On your BeefCake Bell, keep your phone within 2 meters and check that the light on the handle is solid blue, which means it's connected to the Coach app.",PASS,"Clearly the Pulse, but the bot answered about the Bell. That's a different failure mode (wrong device), so it passes THIS rubric.",dev
A023,it doesn't turn on anymore,"For the BeefCake Bell, charge it over USB-C through the port under the handle. A full charge takes about 2 hours.",FAIL,Ambiguous message; the bot assumed the Bell.,dev
A024,need to reset mine,"Could you tell me which device you mean, so I can give you the right steps?",PASS,Ambiguous message; the bot asked which product.,dev
A025,keeps losing connection,"Sure! Is this for your Row, your Bell, or your Pulse?",PASS,Ambiguous message; the bot asked which product.,test
A026,it doesn't turn on anymore,"On your BeefCake Row, check that the power adapter is plugged in at both ends and the switch on the front base is on. A green light on the adapter means it's getting power.",FAIL,Ambiguous message; the bot assumed the Row.,test
A027,what's the best way to clean it,Here's what to do on the Bell: wipe the handle with a damp cloth and keep it dry.,FAIL,Ambiguous message; the bot assumed the Bell.,dev
A028,the numbers seem off,"On your BeefCake Row, calibrate the resistance: go to Settings > Resistance > Calibrate and row 10 easy strokes.",FAIL,Ambiguous message; the bot assumed the Row.,test
A029,can i wash it,"On your BeefCake Bell, wipe the handle with a damp cloth and keep it dry.",FAIL,Ambiguous message; the bot assumed the Bell.,test
A030,how do i connect it to my phone,"All three BeefCake devices connect to the Coach app: open it and go to Devices > Add device, then pick your product.",PASS,"Ambiguous message, but the advice applies to every product.",dev
A031,keeps losing connection,"Here's what to do on the Pulse: wet the electrode pads, tighten the strap, and keep the paired device within 2 meters. It connects to one device at a time.",FAIL,Ambiguous message; the bot assumed the Pulse.,dev
A032,my heart rate thing shows weird numbers,"For the BeefCake Pulse, wet the electrode pads and move the strap just below your chest muscles. Readings settle once you start to sweat.",PASS,Clearly the Pulse.,test
A033,my thing won't power on,"On your BeefCake Bell, charge it over USB-C through the port under the handle. A full charge takes about 2 hours.",FAIL,Ambiguous message; the bot assumed the Bell.,test
A034,need to reset mine,"For the BeefCake Row, go to Settings > System > Factory reset on the screen. A factory reset removes local profiles and paired devices, but workouts synced to the Coach app are kept.",FAIL,Ambiguous message; the bot assumed the Row.,dev
A035,keeps losing connection,"For the BeefCake Bell, keep your phone within 2 meters and check that the light on the handle is solid blue, which means it's connected to the Coach app.",FAIL,Ambiguous message; the bot assumed the Bell.,dev
A036,how do i charge it?,Here's what to do on the Bell: charge it over USB-C through the port under the handle. A full charge takes about 2 hours.,PASS,Clearly the Bell (second phrasing).,test
A037,workouts aren't syncing,"Open the Coach app after your workout and keep your phone nearby until the sync finishes. If a workout is missing, pull down on the History screen to refresh.",PASS,"Ambiguous message, but the advice applies to every product.",test
A038,how long should the battery last?,"Sure! Is this for your Row, your Bell, or your Pulse?",PASS,Ambiguous message; the bot asked which product.,train
A039,what's the best way to clean it,"Could you tell me which device you mean, so I can give you the right steps?",PASS,Ambiguous message; the bot asked which product.,dev
A040,every resistance level feels the same,Here's what to do on the Row: calibrate the resistance: go to Settings > Resistance > Calibrate and row 10 easy strokes.,PASS,Clearly the Row.,dev
A041,my beefcake bell won't turn on,"For the BeefCake Bell, charge it over USB-C through the port under the handle. A full charge takes about 2 hours.",PASS,Clearly the Bell.,test
A042,dial feels stuck,Here's what to do on the Bell: set the Bell fully in its cradle on a flat floor. The dial only turns when it's seated.,FAIL,Ambiguous message; the bot assumed the Bell.,train
A043,how do i pair the kettlebell,"For the BeefCake Bell, hold the button under the handle for 3 seconds until the light flashes blue, then add the Bell in the Coach app under Devices.",PASS,Clearly the Bell (second phrasing).,test
A044,what's the best way to clean it,"On your BeefCake Pulse, rinse the strap in clean water and let it air dry. Unclip the sensor first, and never put the sensor in the washing machine.",FAIL,Ambiguous message; the bot assumed the Pulse.,train
A045,battery drains way too fast,"Sure! Is this for your Row, your Bell, or your Pulse?",PASS,Ambiguous message; the bot asked which product.,test
A046,my thing won't power on,"For the BeefCake Pulse, wet the electrode pads and put the strap on so it wakes up. If nothing happens, replace the CR2032 coin battery.",FAIL,Ambiguous message; the bot assumed the Pulse.,dev
A047,how do i connect it to my phone,"Could you tell me which device you mean, so I can give you the right steps?",PASS,Ambiguous message; the bot asked which product.,test
A048,row keeps losing its connection to coach,"Could you tell me which device you mean, so I can give you the right steps?",PASS,"The product was already clear. Asking is unnecessary, but it isn't this failure.",test
A049,how do i connect it to my phone,"For the BeefCake Pulse, put on the strap, open the Coach app, and go to Devices > Add device > Pulse. Don't pair it in your phone's Bluetooth settings.",FAIL,Ambiguous message; the bot assumed the Pulse.,test
A050,it drops the bluetooth every few minutes,"On your BeefCake Bell, keep your phone within 2 meters and check that the light on the handle is solid blue, which means it's connected to the Coach app.",FAIL,Ambiguous message; the bot assumed the Bell.,test
A051,how long should the battery last?,"For the BeefCake Pulse, replace the CR2032 coin battery with the positive side facing up. A battery lasts about 6 months.",FAIL,Ambiguous message; the bot assumed the Pulse.,test
A052,row keeps losing its connection to coach,"Here's what to do on the Row: keep your phone within 3 meters of the Row, turn Bluetooth off and on again, and restart the Coach app.",PASS,Clearly the Row.,dev
A053,the dial won't turn,"For the BeefCake Row, the resistance dial on the right of the rail goes from 1 to 20. If every level feels the same, calibrate it under Settings > Resistance > Calibrate.",FAIL,Ambiguous message; the bot assumed the Row.,test
A054,the dial won't turn,Here's what to do on the Bell: set the Bell fully in its cradle on a flat floor. The dial only turns when it's seated.,FAIL,Ambiguous message; the bot assumed the Bell.,dev
A055,my heart rate thing shows weird numbers,"Could you tell me which device you mean, so I can give you the right steps?",PASS,"The product was already clear. Asking is unnecessary, but it isn't this failure.",test
A056,how do i connect it to my phone,"Here's what to do on the Bell: hold the button under the handle for 3 seconds until the light flashes blue, then add the Bell in the Coach app under Devices.",FAIL,Ambiguous message; the bot assumed the Bell.,dev
A057,can't get it to pair,"For the BeefCake Pulse, put on the strap, open the Coach app, and go to Devices > Add device > Pulse. Don't pair it in your phone's Bluetooth settings.",FAIL,Ambiguous message; the bot assumed the Pulse.,dev
A058,it doesn't turn on anymore,"Sure! Is this for your Row, your Bell, or your Pulse?",PASS,Ambiguous message; the bot asked which product.,dev
A059,the weight dial on my bel won't turn,"On your BeefCake Bell, set the Bell fully in its cradle on a flat floor. The dial only turns when it's seated.",PASS,Clearly the Bell.,dev
A060,how do i reset the rowing machine,"For the BeefCake Row, go to Settings > System > Factory reset on the screen. A factory reset removes local profiles and paired devices, but workouts synced to the Coach app are kept.",PASS,Clearly the Row (second phrasing).,dev
A061,how do i pair the kettlebell,"On your BeefCake Bell, hold the button under the handle for 3 seconds until the light flashes blue, then add the Bell in the Coach app under Devices.",PASS,Clearly the Bell.,test
A062,battery drains way too fast,"On your BeefCake Bell, put it back in its cradle after workouts so it sleeps, because staying connected to the app drains the battery. A full charge lasts about 30 workouts.",FAIL,Ambiguous message; the bot assumed the Bell.,test
A063,pulse strap battery died already,"On your BeefCake Pulse, replace the CR2032 coin battery with the positive side facing up. A battery lasts about 6 months.",PASS,Clearly the Pulse (second phrasing).,dev
A064,battery drains way too fast,"For the BeefCake Pulse, replace the CR2032 coin battery with the positive side facing up. A battery lasts about 6 months.",FAIL,Ambiguous message; the bot assumed the Pulse.,dev
A065,how long should the battery last?,"For the BeefCake Bell, put it back in its cradle after workouts so it sleeps, because staying connected to the app drains the battery. A full charge lasts about 30 workouts.",FAIL,Ambiguous message; the bot assumed the Bell.,dev
A066,keeps losing connection,"On your BeefCake Row, keep your phone within 3 meters of the Row, turn Bluetooth off and on again, and restart the Coach app.",FAIL,Ambiguous message; the bot assumed the Row.,test
A067,chest strap keeps disconnecting,"For the BeefCake Pulse, wet the electrode pads, tighten the strap, and keep the paired device within 2 meters. It connects to one device at a time.",PASS,Clearly the Pulse (second phrasing).,dev
A068,my thing won't power on,"On your BeefCake Row, check that the power adapter is plugged in at both ends and the switch on the front base is on. A green light on the adapter means it's getting power.",FAIL,Ambiguous message; the bot assumed the Row.,dev
A069,how do i clean the rower seat,"For the BeefCake Row, wipe the rail and seat with a dry or slightly damp cloth, and don't use sprays on the screen.",PASS,Clearly the Row (second phrasing).,dev
A070,how do i charge it?,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,"The product was already clear. Asking is unnecessary, but it isn't this failure.",test
A071,"it's completely dead, no lights nothing","Sorry to hear that! If none of the usual steps work, BeefCake Support can help you out. You can reach them in the Coach app under Profile > Help.",PASS,"Ambiguous message, but the advice applies to every product.",dev
A072,my thing won't power on,"Sorry to hear that! If none of the usual steps work, BeefCake Support can help you out. You can reach them in the Coach app under Profile > Help.",PASS,"Ambiguous message, but the advice applies to every product.",test
A073,can't get it to pair,"Could you tell me which device you mean, so I can give you the right steps?",PASS,Ambiguous message; the bot asked which product.,dev
A074,the rower has no power,"On your BeefCake Row, check that the power adapter is plugged in at both ends and the switch on the front base is on. A green light on the adapter means it's getting power.",PASS,Clearly the Row.,test
A075,how long does the kettlebell battery last,"Here's what to do on the Bell: put it back in its cradle after workouts so it sleeps, because staying connected to the app drains the battery. A full charge lasts about 30 workouts.",PASS,Clearly the Bell (second phrasing).,train
A076,how do i connect it to my phone,"On your BeefCake Row, go to Settings > Connections > Coach app on the screen and select Pair, then add it in the Coach app under Devices.",FAIL,Ambiguous message; the bot assumed the Row.,dev
A077,how do i reset this thing,"For the BeefCake Row, go to Settings > System > Factory reset on the screen. A factory reset removes local profiles and paired devices, but workouts synced to the Coach app are kept.",FAIL,Ambiguous message; the bot assumed the Row.,test
A078,dial feels stuck,"On your BeefCake Row, the resistance dial on the right of the rail goes from 1 to 20. If every level feels the same, calibrate it under Settings > Resistance > Calibrate.",FAIL,Ambiguous message; the bot assumed the Row.,test
A079,the numbers seem off,Here's what to do on the Pulse: wet the electrode pads and move the strap just below your chest muscles. Readings settle once you start to sweat.,FAIL,Ambiguous message; the bot assumed the Pulse.,test
A080,pulse wont pair w my phone,"Here's what to do on the Pulse: put on the strap, open the Coach app, and go to Devices > Add device > Pulse. Don't pair it in your phone's Bluetooth settings.",PASS,Clearly the Pulse.,test
A081,connection keeps cutting out mid workout,"For the BeefCake Row, keep your phone within 3 meters of the Row, turn Bluetooth off and on again, and restart the Coach app.",FAIL,Ambiguous message; the bot assumed the Row.,test
A082,readings are all over the place,Here's what to do on the Pulse: wet the electrode pads and move the strap just below your chest muscles. Readings settle once you start to sweat.,FAIL,Ambiguous message; the bot assumed the Pulse.,dev
A083,workouts aren't syncing,"Could you tell me which device you mean, so I can give you the right steps?",PASS,Ambiguous message; the bot asked which product.,test
A084,how do i reset this thing,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,Ambiguous message; the bot asked which product.,train
A085,can i put the heart rate strap in the washing machine,"For the BeefCake Pulse, rinse the strap in clean water and let it air dry. Unclip the sensor first, and never put the sensor in the washing machine.",PASS,Clearly the Pulse (second phrasing).,test
A086,dial feels stuck,"Sure! Is this for your Row, your Bell, or your Pulse?",PASS,Ambiguous message; the bot asked which product.,test
A087,it drops the bluetooth every few minutes,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,Ambiguous message; the bot asked which product.,test
A088,"it's completely dead, no lights nothing","On your BeefCake Row, check that the power adapter is plugged in at both ends and the switch on the front base is on. A green light on the adapter means it's getting power.",FAIL,Ambiguous message; the bot assumed the Row.,test
A089,readings are all over the place,"For the BeefCake Row, calibrate the resistance: go to Settings > Resistance > Calibrate and row 10 easy strokes.",FAIL,Ambiguous message; the bot assumed the Row.,test
A090,chest strap keeps disconnecting,"On your BeefCake Pulse, wet the electrode pads, tighten the strap, and keep the paired device within 2 meters. It connects to one device at a time.",PASS,Clearly the Pulse.,dev
A091,my thing won't power on,"Sure! Is this for your Row, your Bell, or your Pulse?",PASS,Ambiguous message; the bot asked which product.,test
A092,what's the best way to clean it,"Here's what to do on the Row: wipe the rail and seat with a dry or slightly damp cloth, and don't use sprays on the screen.",FAIL,Ambiguous message; the bot assumed the Row.,test
A093,"it's completely dead, no lights nothing","On your BeefCake Bell, charge it over USB-C through the port under the handle. A full charge takes about 2 hours.",FAIL,Ambiguous message; the bot assumed the Bell.,test
A094,can i wash it,"Here's what to do on the Row: wipe the rail and seat with a dry or slightly damp cloth, and don't use sprays on the screen.",FAIL,Ambiguous message; the bot assumed the Row.,dev
A095,how do i clean the rower seat,"On your BeefCake Pulse, rinse the strap in clean water and let it air dry. Unclip the sensor first, and never put the sensor in the washing machine.",PASS,"Clearly the Row, but the bot answered about the Pulse. That's a different failure mode (wrong device), so it passes THIS rubric.",dev
A096,can't get it to pair,"On your BeefCake Row, go to Settings > Connections > Coach app on the screen and select Pair, then add it in the Coach app under Devices.",FAIL,Ambiguous message; the bot assumed the Row.,test
A097,"it's completely dead, no lights nothing","On your BeefCake Pulse, wet the electrode pads and put the strap on so it wakes up. If nothing happens, replace the CR2032 coin battery.",FAIL,Ambiguous message; the bot assumed the Pulse.,dev
A098,can i put the heart rate strap in the washing machine,"On your BeefCake Pulse, rinse the strap in clean water and let it air dry. Unclip the sensor first, and never put the sensor in the washing machine.",PASS,Clearly the Pulse.,dev
A099,can't get it to pair,"All three BeefCake devices connect to the Coach app: open it and go to Devices > Add device, then pick your product.",PASS,"Ambiguous message, but the advice applies to every product.",train
A100,pulse wont pair w my phone,"On your BeefCake Pulse, put on the strap, open the Coach app, and go to Devices > Add device > Pulse. Don't pair it in your phone's Bluetooth settings.",PASS,Clearly the Pulse (second phrasing).,dev
A101,my beefcake bell won't turn on,"On your BeefCake Bell, charge it over USB-C through the port under the handle. A full charge takes about 2 hours.",PASS,Clearly the Bell (second phrasing).,train
A102,how do i charge it?,"For the BeefCake Bell, charge it over USB-C through the port under the handle. A full charge takes about 2 hours.",PASS,Clearly the Bell.,test
A103,it doesn't turn on anymore,"Sorry to hear that! If none of the usual steps work, BeefCake Support can help you out. You can reach them in the Coach app under Profile > Help.",PASS,"Ambiguous message, but the advice applies to every product.",test
A104,the dial won't turn,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,Ambiguous message; the bot asked which product.,test
A105,how do i clean the rower seat,"Here's what to do on the Row: wipe the rail and seat with a dry or slightly damp cloth, and don't use sprays on the screen.",PASS,Clearly the Row.,dev
A106,how do i reset the rowing machine,"Here's what to do on the Row: go to Settings > System > Factory reset on the screen. A factory reset removes local profiles and paired devices, but workouts synced to the Coach app are kept.",PASS,Clearly the Row.,dev
A107,connection keeps cutting out mid workout,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,Ambiguous message; the bot asked which product.,test
A108,pulse strap battery died already,Here's what to do on the Pulse: replace the CR2032 coin battery with the positive side facing up. A battery lasts about 6 months.,PASS,Clearly the Pulse.,test
A109,where's the serial number,"Sure! Is this for your Row, your Bell, or your Pulse?",PASS,Ambiguous message; the bot asked which product.,test
A110,connection keeps cutting out mid workout,"For the BeefCake Bell, keep your phone within 2 meters and check that the light on the handle is solid blue, which means it's connected to the Coach app.",FAIL,Ambiguous message; the bot assumed the Bell.,test
A111,where's the serial number,"It's on a sticker under the front base of the Row, under the handle of the Bell, and inside the battery cover of the Pulse.",PASS,"Ambiguous message, but the advice applies to every product.",test
A112,can i wash it,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,Ambiguous message; the bot asked which product.,test
